Notice Identifier,Notice Type,Organisation Name,Status,Published Date,Title,Description,Nationwide,Postcode,Region,Cpv Codes,Contact Name,Contact Email,Contact Address 1,Contact Address 2,Contact Town,Contact Postcode,Contact Country,Contact Telephone,Contact Website,Attachments,Links,Additional Text,Start Date,End Date,Closing Date,Is sub-contract,Parent Reference,Suitable for SME,Suitable for VCO,Supply Chain,OJEU Contract Type,Value Low,Value High,Awarded Date,Awarded Value,Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE],Supplier's contact name,Contract start date,Contract end date,OJEU Procedure Type,Accelerated Justification,Closing Time
LGSS001-DN293166-33811330,Contract,Northamptonshire County Council,Awarded,2017-12-28T14:52:02Z,Northamptonshire County Council - Services for the Treatment of Drug and Alcohol Addictions,"Northamptonshire County Council is running a simultaneous procurement process for Services for the Treatment of Drug and Alcohol Addictions. The detailed requirements are defined in the Specification, but please see below summary for each Lot.

LOT 1: Structured Treatment Service for adults and young people in Northamptonshire will include prescribing, OST, psychosocial interventions and responsibility for the management of the residential rehab, inpatient and ambulatory detox, shared care with GP surgeries, needle exchange, supervised consumption with pharmacies, the distribution of naloxone and foil. It will also introduce an integral mental health service capable of meeting the needs of Northamptonshire clients; provide structured treatment for young people allowing them access to the specialist resources as needed and house the re-designed single point of contact (SPOC) representing all services.
LOT 2: Recovery Service for all treatment and recovery clients in Northamptonshire will be peer based and provide an interface with structured treatment. It will host mutual treatment options and include the management of the PHaSE housing project. 
LOT 3: Specialised Training Service, providing training on drug and alcohol awareness for substance misuse services for older people aged 45 and over.
LOT 4: Young People's Early Intervention Service - Services for young people with or living with problematic substance misuse will be divided into two. Those who require structured treatment (those with moderate to severe addictions) will be managed in the community by the Early Intervention service (Lot 4) with structured treatment drawn down from the all-through service (see fig.1). This configuration takes account of best practice, ensures that those who need treatment can access the best available with the interventions taking place within the young person's community environment. The Early Intervention service will comprise the larger part and will have workers embedded in clusters (schools or Early Intervention) where they will devise an appropriate prevention agenda for young people. It will support local services in the earlier identification of young people, at risk of, or substance abusing. It will provide assessment of the severity of the problem and steer the young person towards less harmful behaviours. Where the young person requires a more intensive treatment the community based early intervention service will draw down the practitioner and resources from the treatment service (Lot 1).

The service will be required from 1st April 2018 for an initial period of 4 years (up to 31st March 2022) with Lots 1, 2 and 4 having an option to extend for a further period of up to 4 years. The Authority believes that TUPE does apply to all Lots at its commencement. The deadline for completed ITTs to be received on the LGSS eTendering Portal (www.lgssprocurementportal.co.uk) is 12:00noon on Friday 3rd November 2017.",,,East Midlands,85000000,Amy Myers,ammyers@northamptonshire.gov.uk,One Angel Square,Angel Street,Northampton,NN1 1ED,England,,http://www.lgssprocurementportal.co.uk,,,,01/04/2018,31/03/2022,03/11/2017,NO,,Yes,Yes,No,Services,0,,28/12/2017,58400000,"[change, grow, live (CGL)|BN1 1YR|NONE||No|No][Bridge Substance Misuse Programme Ltd|NN1 1RA|NONE||Yes|No][Richmond Fellowship|N7 8JG|NONE||Yes|No]",,01/04/2018,31/03/2022,Open ,,
SEFT001-DN264174-37254496,Contract,Sefton Council,Awarded,2018-05-15T09:38:23+01:00,Young people and family substance misuse Service- Sefton Council,"Patterns of substance misuse among young people are changing, both in terms of reported prevalence and complexity of the problems faced by the young people who use services. While recent years have seen a decline in the number of young people recorded as entering specialist substance misuse services, substance misuse continues to be ranked as one of the five major challenges that young people face today with cannabis and alcohol remaining the most commonly reported substances for under 18 year olds with problematic use.

Substance misuse is seldom an isolated issue for young people. It affects their health and wellbeing, their education, their family, their security and their future. Substance misuse is closely linked to a number of risky behaviours, including risky sexual activity and multiple risk behaviours and vulnerabilities often associated with adolescence. 

Building resilience within an asset-based age appropriate model of Young People and Family substance misuse service delivery is central to enabling young people to develop the confidence and social capital that are protective factors against vulnerability to substance use and involvement in criminal activity.

Evidence suggests that specialist substance misuse interventions contribute to improved health and wellbeing, educational attendance and achievement, reductions in the numbers of young people not in education, employment or training and reduced risk taking behaviour, such as offending, smoking and unprotected sex. 

The lives of young people can be improved when their families (many of whom have complex needs themselves) are offered support and awareness of the negative affects their substance misuse while involving family members in treatment can improve positive outcomes and sustained behaviour change for young people and their families.",,,North West,85000000,Stuart Bate,stuart.bate@sefton.gov.uk,7th Floor Merton House,Stanley Road,Bootle,L20 3UU,United Kingdom,'+44 1519344288,http://www.sefton.gov.uk/,,,,01/10/2017,31/03/2022,06/06/2017,NO,,Yes,Yes,No,Services,1575000,1575000,18/07/2017,864095,[Addaction|EC1M 6PU|NONE||No|No],,01/10/2017,01/04/2020,Open ,,
P00004592 - AWARD,Contract,Portsmouth City Council,Awarded,2022-06-10T12:12:10+01:00,Substance misuse treatment and support services - AWARD,"Portsmouth City Council ('the Council') is inviting tenders from suitably qualified providers to deliver substance misuse treatment and support services. The overarching objectives of the services are to reduce the harm linked to substance misuse and to enable more people to achieve and sustain recovery from substance misuse.
      
      Services will be delivered under two lots;
      
      - Lot 1: Substance misuse harm reduction and treatment (element 1) & substance misuse supported housing service (element 2)
      
      - Lot 2: Substance misuse independent peer-led service (element 3)
      
      Providers can bid for both lots but can only be awarded one. Where bidding for both providers must state what their preference would be if they are selected as preferred bidder for both lots. Through separating the substance misuse independent peer-led service we aim to establish a truly independent service which empowers service users and increases service user involvement.
      
      Providers have the option to either deliver services from the current properties or to propose use of their own properties, the latter will be deemed a variant bid.
      
      The council is targeting to have awarded both contracts on 1 Feb 2022 to allow for service commencement on 1 June 2022. The contracts will be let for an initial term of 46 months which may then run for a further 6 years in increments set by the Council to a total maximum term of 9 years and 10 months, subject to performance and at the sole option of the Council.
      
      The estimated total value of lot 1 is IRO IRO £4,003,793 pa, £15,347,873 over the 46 month initial term. This is based on the current funding for the services.
      
      The estimated value of lot 2 is IRO £250,000 pa, £958,333 over the 46 month initial term. This is based on the current funding for the services.
      
      The annual value of both contracts is expected to vary over the initial 46 months due to a combination of secure and unsecure funding streams. The total value of the contract opportunity for this initial period is IRO £16,306,206. The estimated value of the contract over the maximum term of 9 years and 10 months is IRO £30.12m - £52.2m allowing for further additional funding should the become available.",,PO1 2BJ,South East,85000000 85312000 85100000 85312500 85312300 85140000 85311000 85323000 85312400 ,Procurement Service,procurement@portsmouthcc.gov.uk,Guildhall Square,Portsmouth,Hampshire,PO1 2BJ,United Kingdom,023 9268 8235,,,,,01/06/2022,31/03/2026,10/12/2021,NO,,Yes,Yes,No,Services,30120000,52200000,01/02/2022,0,"[Pushing Change|67 Kingston Road, 67 Kingston Road, Portsmouth, Portsmouth, Hampshire, United Kingdom, PO2 7DX|NONE||No|No][The Society of St James|125, Albert Road South, Southampton, Hampshire, United Kingdom, SO14 3FR|NONE||No|No]",,01/06/2022,31/03/2026,Open ,,12:00
20211001160049-34952,Contract,West Midlands Fire and Rescue Authority,Awarded,2021-10-01T16:00:55+01:00,THERAPEUTIC INTERVENTIONS AND TRAINING PROVISION FOR WMFRA,"WMFS currently contract in specialist addiction therapeutic interventions and alcohol and drug awareness training, as well as policy support where required. This contract is currently up for renewal, details below.
We require an addiction service (therapeutic and training) for our employees. This  should include: but is not limited to :

a)	A Pay-As-You-Go therapeutic service for staff with addictions. Our numbers of people requiring this service is extremely small.  The therapist must specialise in counselling addiction and new habit forming and be appropriately qualified to treat and registered with a relevant professional body. It is important this person builds a relationship with the internal Occupational Health.
b)	 Face to face sessions are preferred once COVID Lockdown allows, however during COVID lockdowns the service will be virtual. Where possible this service could expand to the family.  Face to Face sessions will be held at the Occupational Health Unit located at: Safeside, FSHQ, 101 Vauxhall Road, Nechells, Birmingham B7 4HW.
c)	This service will be accessed by clients by referral routes Occupational Health, Management or Self referred, with an agreed route between both parties. Initial contact to the client would ideally be no longer than 48hours to arrange an appointment to be seen. In all cases WMFS Occupational Health remain the case manager.
d)	Timely update reports (max 5 days after the session) are required to either Occupational Health or where referred by management to them. Reports should be received ideally the same week as the client is seen. 
e)	To abide by confidentiality and all GDPR requirements including consent, patient confidentiality and observing Safeguarding where necessary. 
f)	To trial group addiction sessions via webinar or face to face when its allowed.
g)	Awareness training on addictions for all key staff (management, human resources, occupational health, trade unions) including how to have the conversation with employe",,,West Midlands,33693300 85147000 85312300 85312320 ,Gerri Turner,gerri.turner@wmfs.net,"99 Vauxhall Road, Nechells",,Birmingham,B7 4HW,ENG,'+44 1213806174,www.wmfs.net,,https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=38273&B=BLUELIGHT https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/34952 ,,05/08/2021,04/08/2024,06/07/2021,NO,,Yes,Yes,No,Services,10800,16200,21/07/2021,16200,"[Aquarius Action Projects|Aquarius Life 
236 Bristol Road 
Edgbaston 
Birmingham 
B5 7SL|NONE||No|No]",,05/08/2021,04/08/2024,Open ,,16:00
LINCOLN001-DN646194-79003549,Contract,Lincolnshire County Council,Awarded,2024-02-08T14:27:43Z,All age Substance Misuse Services,"Lincolnshire County Council is seeking to procure: an All Age Integrated Substance Misuse Treatment and Recovery Service and a All Age Substance Misuse Family and Affected Others Support Service for Lincolnshire to support adults, children and young persons and their families and affected others including children and young persons who have experienced substance misuse.\r
\r
The new Substance Misuse services are influenced by the key findings from the demand review, market engagement, stakeholder feedback and Lincolnshire Drugs Strategy 2021-25 which has a key focus on reducing drug related deaths, reducing drug-related offending and reducing the prevalence of drug use within our communities.\r
The Council is publishing this opportunity for the market to bid for two separate LOTS:\r
LOT 1: All Age Integrated Substance Misuse Treatment and Recovery Service.\r
LOT 2: All Age Substance Misuse Family and Affected Others Support Service",,,England,85300000 85100000 ,Reena Fehnert,reena.fehnert@lincolnshire.gov.uk,County Offices,Newland,Lincoln,LN1 1YL,United Kingdom,,https://www.lincolnshire.gov.uk,,https://procontract.due-north.com/Advert?advertId=e5253cc7-4b73-ed11-811c-005056b64545 ,,01/04/2024,31/03/2029,26/09/2023,NO,,Yes,Yes,No,Services,90000000,,22/12/2023,90000000,"[Turning Point (Services) Ltd|Turning Point (Services) Ltd
America House
2 America Square
London
EC3 N2LU|NONE||No|No]",,01/04/2024,31/03/2029,Open ,,12:00
2ed70abd-8181-44b8-836b-7dd695203a8e AA,Contract,Surrey County Council,Awarded,2023-05-02T15:16:55+01:00,"SCC CONTRACT FOR THE PROVISION OF INDEPENDENT PUBLIC INVOLVEMENT SERVICE IN RELATION TO SUBSTANCE USE IN SURREY -(COMBATING DRUGS PARTNERSHIP - PUBLIC INVOLVEMENT)            SCC is commissioning a new service to engage with individual's directly and indirectly affected by substance misuse.            The winner provider will report back to SCC Substance Misuse Partnership.                  In order to gain an independent and accurate review of the public's experience in relation to drugs and alcohol, and to advise on the future planning of Surrey's Combating Drugs Partnership, an independent Contractor will engage with key stakeholders through a series of 1-1 engagemen","Surrey County Council ('The Council') is issuing this RFQ in relation to the provision of a bespoke and independent public engagement service for those in Surrey who may be affected by substance use.  This includes people with lived experience, their families and networks, individuals impacted by the effect of substance use through their communities and those that have been the victims of drug-related crime.  We are particularly keen to engage with people with lived experience who choose not to engage with our treatment services.
    
    We anticipate that engagement with the public will be conducted through 1-1 opportunities and targeted focus groups, and the service provider will be steered by Surrey's newly established Combating Drugs Partnership as to the focus of the engagement.  The service provider will be expected to report back to the Partnership on a regular basis.  There will also be the expectation that the service provider will ensure participants are provided with appropriate support in relation to their engagement and that they will engage with existing local networks providing public participation, such as Healthwatch and The Council's User Voice and Participation Team.",,RH2 8EF,Any region,73110000 75200000 75231200 79315000 79430000 85000000 85100000 85144000 85323000 98000000 ,Amara Appleton,Amara.Appleton@surreycc.gov.uk,"Woodhatch Place, 11 Cockshot Hill",", ,",Reigate,RH2 8EF,UNITED KINGDOM,2085419000,,,https://supplierlive.proactisp2p.com/Account/Login?cid=surreycc ,,01/06/2023,31/05/2027,30/01/2023,NO,,Yes,Yes,No,Works,239464,240000,02/05/2023,0,"[Healthwatch Surrey|Astolat, Coniers Way, Burpham, Guildford, Surrey, GU4 7HL, UNITED KINGDOM|NONE||No|No]",,01/06/2023,31/05/2027,SingleTenderActionNonOJEU ,,09:00
NOTTCITY001-DN109453-12226569,Contract,Nottingham City Council,Awarded,2016-06-01T15:09:19+01:00,CPU 1581 - Integrated Substance Misuse Service,"Nottingham City Council is looking to redesign the substance misuse treatment system in Nottingham and to procure services to deliver that new model.
The vision is for a treatment system that delivers the best possible quality and standards of care, maximising numbers achieving a substance-free lifestyle and recovery from substance misuse. 
The Authority is seeking tenders from sufficiently experienced and qualified providers for the provision of 3 Lots as follows:

•	Integrated adult drug and alcohol treatment service
•	Specialist needle exchange and sexual health service
•	Family support service

Providers may bid for single or multiple Lots.
The Authority’s detailed requirements for the above Lots are defined in the corresponding service specifications. The duration will be for five (5) years, with a possible extension of one plus one (1+1) years at the Authority’s total discretion.

The objectives for the treatment system are to:

•	Maximise the number of clients who achieve recovery
•	Reduce the harm to individuals and families (including vulnerable groups) as a direct or indirect result of substance misuse; including supporting those for who recovery is not yet an option
•	Ensure service users are at the heart of the treatment system and their own recovery journey
•	Respond to current need and be flexible to future changing needs

Lot 1: Integrated adult drug and alcohol treatment service
The Provider will deliver this Lot which is one of the principle components in a fully integrated drug and alcohol treatment system framed around reducing harm and achieving sustained recovery from problematic drug and alcohol use. 

Lot 2: Specialist needle exchange and sexual health service
The Provider will deliver a specialist sexual health and needle exchange service in a fully integrated treatment system framed around achieving improvements in

•	Sexual health outcomes as defined in A Framework for Sexual Health Improvement in England 2013
•	Sustained recovery from drug dependency as defined by the 2010 National Drug Strategy

Lot 3: Family support service
The Provider will support and work with families, children of drug and alcohol users, carers and anyone affected by a family member’s substance misuse to address the negative impact of substance misuse and improve family functioning. This will include developing and maintaining a personalised, holistic package of support for individuals and whole families.
",,,East Midlands,98000000 85100000 ,Christina Barrett,Christina.Barrett@nottinghamcity.gov.uk,Loxley House,Station Street,Nottingham,NG2 3NG,UK,'+44 0,http://www.nottinghamcity.gov.uk,,https://procontract.due-north.com/Advert?advertId=fc1e3313-55c0-e511-810c-000c29c9ba21 ,,01/07/2016,30/06/2021,03/03/2016,NO,,Yes,No,No,Services,24952615,24952615,11/04/2016,24776908,"[Framework Housing Association|Val Roberts House, 25 Gregory Boulevard, Nottingham, NG7 6NX|||No|Yes][Framework Housing Association|Val Roberts House, 25 Gregory Boulevard, Nottingham, NG7 6NX|||No|Yes][Lifeline Project Ltd|Unit 14/15, Third Floor, 12 Hilton Street, Manchester M1 1JF|||No|Yes]",,30/06/2016,30/06/2021,Open ,,
tender_286614/1060129,Contract,City of London Corporation,Awarded,2022-04-08T12:32:53+01:00,The Provision of a Pan-London Homeless Substance Misuse Programme,"**PLEASE NOTE** This is an Award Notice and the opportunity is now closed.

The City of London Corporation (The City) undertook a 1 stage procurement process in relation to the provision of a Pan-London Homeless Substance Misuse Programme (the &apos;Service&apos;).

As part of the Government's ambition to end rough sleeping, funding from Ministry of Housing Communities and Local Government (MHCLG) has been provided to the City as part of a Public Health England (PHE)/Greater London Authority (GLA)/Local Authority (LA) partnership-led pan London Substance Misuse Programme for people who sleep rough/in hostel accommodation/risk of return to the street. The grant will better address the increasing complexity of their substance misuse treatment and recovery needs. 

The City has agreed to act as the lead commissioner for this Programme using the grant funding obtained - up to £2,244,700 of Central Government grant funding to commission a team to help London residents who need support with their drug and alcohol addiction.  The amount of grant provided for this pan-London service is fixed and needs to be spent in full. This grant requirement creates some urgency around the process. 

The Service is split into 3 seperate Lots covering Abstinence-based Intermediate Residential Rehabilitation, Stabilisation-based Intermediate Residential Rehabilitation and a Pan-London Homeless Substance Misuse Engagement Team.

The Service to be procured from the proposed contract is classified under Schedule 3 of the Public Contracts Regulations 2015 as ""Provision of services to the community"". Therefore, the Service advertised in this contract notice fall among those listed in Annex XIV to Directive 2014/24/EU and the full obligations set out in that directive do not apply. For the avoidance of doubt, the contract is to be procured in accordance with the Public Contracts Regulations 2015 Regulations 74 to 78, more commonly known as the Light Touch Regime. The precise procurement process to be used is as described in the procurement documents.

The procurement was run as a one stage process, resembling the open procedure and its main features - which includes the core elements of the standard Selection Questionnaire (SQ). Any organisation that considers itself able to meet the requirements of the selection criteria within the Qualification Envelope is invited to submit a tender.

The requirements of the Service are set out in the procurement documents, particularly the Service Specification - available from: https://www.capitalesourcing.com

The duration of the contract is one (1) year, with the option to extend for a further six (6) months. The Contract is intended to commence 1st March 2022 to 31st January 2023.

Organisations were made aware that due to the contract value (of the Service), any contract formed as a result of this procurement process shall be executed as a deed.",,,London,85000000,Chris Mulhall,Chris.mulhall@cityoflondon.gov.uk,"City of London Corporation, Guildhall, PO Box 270",,London,EC2P 2EJ,England,,,,,,01/03/2022,28/02/2023,03/12/2021,YES,tender_286614/1005350,Yes,No,No,Services,1458100,,29/03/2022,1458100,"[Mildmay Hospital|19 Tabernacle Gardens, London, E2 7DZ|COMPANIES_HOUSE|01921087|Yes|No][Phoenix House|68 Newington Causeway, London, SE1 6DF|COMPANIES_HOUSE|1626869|No|No]",,01/04/2022,31/03/2023,OpenNonOJEU ,,12:00
"KH/ACS/LCC/15/271 - RFQ 4197279,1 AWARDED",Contract,Lancashire County Council,Awarded,2020-07-31T17:03:02+01:00,Lancashire Tobacco and Nicotine Addiction Treatment Service,"LCC is inviting suitably experienced providers to tender for the opportunity to provide a Tobacco and Nicotine Addiction Treatment Service across Lancashire.  The service will be community focussed to provide a service which meets tobacco and nicotine users' needs and offers a wide range of options in line with the National Centre for Smoking Cessation and Training (NCSCT) Standard Treatment Programme.  All clients must be offered evidence-based and effective behavioural support and access to first line smoking cessation pharmacotherapy. 

The service will offer support for at least 12 weeks and in some cases longer, dependent on client needs.

The Tobacco and Nicotine Addiction Treatment Service will offer support 52 weeks per year excluding Bank Holidays.

The service is currently provided by a number of organisations, the new contract will provide one Lancashire-wide Tobacco and Nicotine Addiction Treatment Service. 

Lancashire County Council consider that TUPE is likely to apply.

Consortium bids are welcomed.  Please see Tender Documents for further information.",,,North West,85000000,Kirsty Harrison,kirsty.harrison@lancashire.gov.uk,"2nd Floor, Christ Church Precinct",County Hall,Preston,PR1 8XJ,England,01772 538079,,,http://www3.lancashire.gov.uk/corporate/web/?siteid=6864&pageid=41137&e=e ,"Please note the contract end date is 31/03/2019 with an option to extend for a further 24 months. Please note amended RFQ Number RFQ 4197279,1",01/04/2016,31/03/2019,15/09/2015,YES,"KH/ACS/LCC/15/271 - RFQ 4197279,1 AWARDED",Yes,Yes,No,Services,8000000,,31/03/2016,9968880,"[Lancashire Care NHS Foundation Trust|Sceptre Point,
Sceptre Way
Bamber Bridge, 
Preston
PR5 6AW|||No|No]",,01/04/2016,31/03/2019,Open ,,
CUM001-DN402532-96363124,Contract,Cumbria County Council,Awarded,2019-06-25T10:12:18+01:00,Parent/Carer/Family Support for Substance Misuse Service,"The Provider shall deliver the Parent/Carer/Family Support for Substance  Misuse Service across Cumbria.

The vision is to make a positive difference to peoples' lives through delivering and developing activities that focus on prevention, harm reduction, recovery and supporting the promotion of independence. This should be achieved through early intervention and ensuring people are well informed as to what options are available to them. This should support the reduction in need for long term care services and reduce unnecessary hospital admissions. The service must be of high quality, safe, support best practice, and provide value for money that meets the quality outcomes and safeguarding responsibilities of the Council. For the Parent/Carer/Family Support For Substance Misuse Service this shall mean that service users are supported to
a)            Have the best quality of life;
b)            Improve and maintain health and wellbeing;
c)            Exercise maximum choice and control over their own life;
d)            Benefit from raised profile and awareness of the needs of Parent/Carer/Family members who are impacted by substance misuse
e)            To be better informed through the provision of information, advice and support;
f)             Participate as active and equal citizens, both economically and socially; irrespective of illness or disability;
g)               Prevent, delay and reduce the need for care and support;
and
h)            Retain maximum dignity and respect.

The service shall support Adult carers (including parents and other family members) who are residents of Cumbria who are affected by substance misuse (alcohol and drugs), this includes:
a. Those caring for someone who has a Substance / Opioid use disorder.
b. Carers who due to the nature of their caring role have developed a Substance / Opioid use disorder.",,,North West,85000000,Neil Warwick,neil.warwick@cumbria.gov.uk,Cumbria House,107-117 Botchergate,Carlisle,CA1 1RZ,United Kingdom,'+44 1228226943,http://www.cumbria.gov.uk/,,,,01/07/2019,30/06/2020,26/04/2019,NO,,Yes,Yes,No,Services,85000,85000,13/06/2019,85000,[C.A.D.A.S.|CA1 1EJ|NONE||Yes|Yes],,01/07/2019,30/06/2020,Open ,,
